from	to
RELA	A2M
RHOB	A2M
JUN	ABCB1
WT1	ABCB1
GSN	ACTG2
MMP14	ACTG2
MMP16	ACTG2
MMP20	ACTG2
MYLPF	ACTG2
ADAM23	ADAM22
EPS8	ADAM22
COL24A1	ADAMTS3
AKT3	ADCY1
CAMK2A	ADCY1
EDN1	ADCY1
IL1A	ADCY1
GRK7	ADRA2C
BCL2L1	AKT3
FOXO3	AKT3
GNRH2	AKT3
IL21	AKT3
JUN	AKT3
MAPK11	AKT3
PIK3R6	AKT3
PPP1R3A	AKT3
RELA	AKT3
RHOB	AKT3
TCL1A	AKT3
APOC2	ALB
CC2D2A	ALMS1
FOXA1	ALX4
FOXH1	ALX4
HOXB6	ALX4
REST	ANG
EPHA2	ANGPT4
MYO7A	ANKS4B
MBL2	APCS
GPC3	APOC2
GPC4	APOC2
RHOB	ARHGAP33
SLC4A1	ATP1B1
SLC8A1	ATP1B1
NPRL3	ATP6V1E2
SESN1	ATP6V1E2
BMP6	BAMBI
BMP8B	BAMBI
FZD4	BAMBI
GDF10	BAMBI
GDF5	BAMBI
GDF6	BAMBI
GDF9	BAMBI
BBS5	BBS4
ETV4	BCHE
JUN	BCHE
CLU	BCL2L1
MYC	BCL2L1
REL	BCL2L1
RELA	BCL2L1
TPT1	BCL2L1
CYSLTR1	BDKRB1
EDN1	BDKRB1
ETV4	BDKRB1
JUN	BDKRB1
CHEK1	BRIP1
CLSPN	BRIP1
EME1	BRIP1
MCM4	BRIP1
C3	C1R
CFP	C3
CTSG	C3
GABARAP	C3
GATA2	C3
CLU	C9
CACNB3	CACNA1D
CACNG1	CACNA1D
CAMK2A	CACNA1D
GRIN2A	CACNA1D
GRIN2C	CACNA1D
GRIN2D	CACNA1D
HTR2A	CACNA1D
INS	CACNA1D
KCNMB4	CACNA1D
RASGRF1	CACNA1D
RASGRF2	CACNA1D
CACNG1	CACNB3
CAMK2A	CACNB3
RASGRF1	CACNB3
RASGRF2	CACNB3
CAMK2A	CACNG1
RASGRF1	CACNG1
RASGRF2	CACNG1
CYBB	CAMK2A
GRIN2A	CAMK2A
PDE4C	CAMK2A
PLCB1	CAMK2A
RASGRF1	CAMK2A
RASGRF2	CAMK2A
SCN5A	CAMK2A
SCN7A	CAMK2A
SLC6A3	CAMK2A
SMAD2	CAMK2A
SRC	CAMK2A
TMEM80	CC2D2A
CCR3	CCL21
JUN	CCL21
REL	CCL21
RELA	CCL21
TNFAIP6	CCL21
CCR3	CCL22
JUN	CCL22
REL	CCL22
RELA	CCL22
CCR3	CCL23
CYSLTR1	CCL23
JUN	CCL23
REL	CCL23
RELA	CCL23
CCR3	CCL24
JUN	CCL24
REL	CCL24
RELA	CCL24
CCL4	CCL3
CCR3	CCL3
JUN	CCL3
REL	CCL3
RELA	CCL3
SRGN	CCL3
CCR3	CCL4
JUN	CCL4
REL	CCL4
RELA	CCL4
EDN1	CCR3
GRK7	CCR3
PF4V1	CCR3
TRAP1	CCT6B
JUN	CD163
ITGB4	CD40LG
MAPK11	CD40LG
REL	CD40LG
RELA	CD40LG
CDC6	CDC26
RELA	CDC26
RHOB	CDC42BPB
CDC6	CDC45
CLSPN	CDC45
GINS1	CDC45
GINS2	CDC45
GINS4	CDC45
MCM4	CDC45
CLSPN	CDC6
MCM4	CDC6
MYC	CDC6
TESK2	CDK16
PCDH11X	CELSR2
PCDHAC2	CELSR2
PCDHB10	CELSR2
PCDHB2	CELSR2
SRC	CELSR2
PCDHGC5	CELSR2
CENPM	CENPK
CENPQ	CENPK
STAG1	CENPK
CENPQ	CENPM
STAG1	CENPM
STAG1	CENPQ
SRC	CENPV
TCL1A	CEP55
KIR2DS5	CFP
MYC	CGREF1
CLSPN	CHEK1
FANCC	CHEK1
PKMYT1	CHEK1
RHOB	CHEK1
SMAD4	CHEK1
EPX	CHRNA4
HAP1	CHRNA4
CHST6	CHST4
MUC20	CHST4
OGN	CHST6
OMD	CHST6
CLDN19	CLDN16
MCM4	CLSPN
GATA2	CLU
JUN	CLU
TNFSF9	CLU
DYNC2H1	CLUAP1
TTC21B	CLUAP1
ITGA2B	COL17A1
ITGAE	COL17A1
ITGB4	COL17A1
PTK2B	COL17A1
TLL1	COL24A1
GATA1	COL9A3
ITGA2B	COL9A3
ITGAE	COL9A3
ITGB4	COL9A3
PTK2B	COL9A3
SMAD2	CORO2A
REST	CRH
IL5	CSF2
JUN	CSF2
LIFR	CSF2
MPL	CSF2
OSMR	CSF2
REL	CSF2
RELA	CSF2
REL	CSRP1
RELA	CSRP1
RELA	CTH
MAPK11	CYBB
GSTP1	CYP1A2
GSTP1	CYP2C19
EDN1	CYSLTR1
GNRH2	CYSLTR1
GPR17	CYSLTR1
GPR35	CYSLTR1
GPR65	CYSLTR1
HTR2A	CYSLTR1
MLN	CYSLTR1
NMBR	CYSLTR1
NTSR2	CYSLTR1
QRFP	CYSLTR1
TRH	CYSLTR1
HCRTR1	CYSLTR1
GPR143	CYSLTR1
GPR39	CYSLTR1
TACR3	CYSLTR1
JUN	DDAH1
DSCC1	DDX11
MCM4	DDX11
TNNT1	DES
TNNT2	DES
FZD4	DKK4
WNT3	DKK4
WNT7A	DKK4
WNT5B	DKK4
NLGN1	DLGAP1
FOXA1	DLK1
GATA2	DLK1
HAP1	DNAH3
MYC	DNAJC2
PSENEN	DNER
SNTB1	DTNA
MAPK11	DUSP14
MAPK11	DUSP19
ROR2	DUSP19
MAPK11	DUSP21
MAPK11	DUSP9
HAP1	DYNC2H1
TTC21B	DYNC2H1
RBX1	DZIP1
TEAD3	EBF2
FOXA1	ECT2
RHOB	ECT2
FOSL1	EDN1
FOXA1	EDN1
GATA2	EDN1
JUN	EDN1
JUNB	EDN1
MYC	EDN1
NMBR	EDN1
NTSR2	EDN1
PLCB1	EDN1
RELA	EDN1
REST	EDN1
SMAD4	EDN1
GPR148	EDN1
RELA	EEF1D
EFNA3	EFNA1
EPHA2	EFNA1
FOXA1	EFNA1
SRC	EFNA1
EPHA2	EFNA3
IL2	EGR4
JUN	EHHADH
PEX5	EHHADH
FANCC	EME1
SMAD4	EP400
NLGN1	EPB41
INS	EPHA2
PLCB1	EPHA2
SRC	EPHA2
VEGFB	EPHA2
FERMT2	EPS8
SMAD4	EPX
JUN	ETV1
MAPK11	ETV1
BDKRB1	ETV4
FOSL1	ETV4
FOXA1	ETV4
GATA1	ETV4
GATA2	ETV4
JUN	ETV4
JUNB	ETV4
MYC	ETV4
WT1	ETV4
KRT5	EVPL
PPL	EVPL
GSN	EZR
PLS1	EZR
SLC9A3R2	EZR
WWC3	EZR
SERPIND1	F13A1
SYNPO2L	FAT4
FBXO10	FBXL20
FBXO17	FBXL20
RBX1	FBXL20
RNF213	FBXL20
UNKL	FBXL20
FBXO17	FBXO10
RBX1	FBXO10
RNF213	FBXO10
UNKL	FBXO10
RBX1	FBXO17
RNF213	FBXO17
UNKL	FBXO17
FOXO3	FBXO25
ITGB4	FERMT2
RHOB	FGD2
GATA1	FLI1
GATA2	FLI1
ITGA2B	FLI1
MPL	FLI1
MYB	FLI1
NR5A1	FLI1
CLU	FOSL1
JUN	FOSL1
JUNB	FOSL1
MAPK11	FOSL1
SERPIND1	FOSL1
SMAD2	FOSL1
SMAD4	FOSL1
TCF7	FOSL1
CLU	FOSL2
FOSL1	FOSL2
GATA1	FOSL2
HOXB9	FOSL2
JUN	FOSL2
JUNB	FOSL2
MAPK11	FOSL2
MEOX2	FOSL2
MYB	FOSL2
TEF	FOSL2
AGR2	FOXA1
FOXP2	FOXA1
GATA1	FOXA1
GRHL3	FOXA1
GSTP1	FOXA1
HOXB9	FOXA1
JUN	FOXA1
KRT18	FOXA1
MAGEA2	FOXA1
MYB	FOXA1
MYC	FOXA1
PRM1	FOXA1
SERPINF2	FOXA1
SMAD2	FOXH1
SMAD4	FOXH1
ABCB1	FOXO3
GABARAP	FOXO3
GATA1	FOXO3
GATA2	FOXO3
HSPA2	FOXO3
INS	FOXO3
MAPK11	FOXO3
MST1	FOXO3
MYC	FOXO3
PLK2	FOXO3
RUNX3	FOXO3
SMAD2	FOXO3
SMAD4	FOXO3
GPC4	FZD4
PLCB1	FZD4
ROR2	FZD4
SGIP1	FZD4
WNT3	FZD4
WNT7A	FZD4
WNT5B	FZD4
GABRA3	GABARAP
GABRG2	GABARAP
GABRQ	GABARAP
GABRG2	GABRA3
GABRQ	GABRA3
HAP1	GABRA3
GABRQ	GABRG2
HAP1	GABRG2
HAP1	GABRQ
CCR3	GATA1
CYBB	GATA1
GATA2	GATA1
JUNB	GATA1
MTA3	GATA1
MYB	GATA1
SLC4A1	GATA1
WT1	GATA1
CYBB	GATA2
FOXO3	GATA2
GATA1	GATA2
JUN	GATA2
MACC1	GATA2
MYB	GATA2
MYC	GATA2
NR5A1	GATA2
SERPINF2	GATA2
SMAD4	GATA2
TBX19	GATA2
WT1	GATA2
MUC20	GCNT3
JUN	GGT5
GINS2	GINS1
GINS4	GINS1
MCM4	GINS1
GINS4	GINS2
MCM4	GINS2
MCM4	GINS4
GJA9	GJA3
GJB7	GJA3
GJB7	GJA9
HOXB7	GMNN
SIX3	GMNN
PLCB1	GNAT1
HS3ST5	GPC3
HS6ST2	GPC3
NOTUM	GPC3
WNT3	GPC3
WNT7A	GPC3
XYLT2	GPC3
WNT5B	GPC3
HS3ST5	GPC4
HS6ST2	GPC4
XYLT2	GPC4
TTC21B	GPR161
GPR35	GPR17
GPR55	GPR17
GPR65	GPR17
GPR55	GPR35
GPR65	GPR35
GPR65	GPR55
TGS1	GPS2
MYC	GRHL3
GRIN2A	GRIK1
GRIN2C	GRIK1
GRIN2D	GRIK1
HAP1	GRIK1
GRIN2C	GRIN2A
GRIN2D	GRIN2A
HAP1	GRIN2A
SRC	GRIN2A
HAP1	GRIN2C
HAP1	GRIN2D
HTR2A	GRK7
HRH2	GRK7
HRH4	GRK7
PIP4K2A	GSN
RELA	GSTP1
MMP14	HBEGF
MMP16	HBEGF
S1PR3	HBEGF
SGIP1	HBEGF
SPRY1	HBEGF
SRC	HBEGF
SMAD4	HELLS
REST	HES3
MYC	HEYL
MEOX2	HMGB3
JUN	HOXB9
JUNB	HOXD1
STAG1	HSPA2
TNIK	HSPA2
TRAP1	HSPA2
MAP1A	HTR2A
NTSR2	HTR2A
IFNA2	IFNA16
IFNA8	IFNA16
JUN	IFNA16
LIFR	IFNA16
MPL	IFNA16
OSMR	IFNA16
RELA	IFNA16
IFNA8	IFNA2
JUN	IFNA2
LIFR	IFNA2
MPL	IFNA2
OSMR	IFNA2
REL	IFNA2
RELA	IFNA2
JUN	IFNA8
LIFR	IFNA8
MPL	IFNA8
OSMR	IFNA8
RELA	IFNA8
REST	IGSF1
IL21	IL1A
JUN	IL1A
MAPK11	IL1A
MEOX2	IL1A
RELA	IL1A
JUN	IL2
LIFR	IL2
MAPK11	IL2
MPL	IL2
OSMR	IL2
PTK2B	IL2
REL	IL2
RELA	IL2
SMPD1	IL2
LIFR	IL21
MPL	IL21
OSMR	IL21
LIFR	IL22
MPL	IL22
OSMR	IL22
OSMR	IL31RA
JUN	IL5
LIFR	IL5
MPL	IL5
OSMR	IL5
RELA	IL5
PLCB1	INPP5J
PLCE1	INPP5J
MYRIP	INS
PCSK2	INS
PPP1R3A	INS
SYT5	INS
ITGB4	ITGA2B
LAMB4	ITGA2B
PTK2B	ITGA2B
SRC	ITGA2B
ITGB4	ITGAE
PTK2B	ITGAE
SRC	ITGAE
LAMB4	ITGB4
PTK2B	ITGB4
SRC	ITGB4
ABCB1	JUN
BDKRB1	JUN
CCL4	JUN
CSF2	JUN
EDN1	JUN
EZR	JUN
FOSL1	JUN
IL1A	JUN
IL2	JUN
IL5	JUN
JUNB	JUN
KCNIP3	JUN
MACC1	JUN
MAPK11	JUN
MTA3	JUN
MYB	JUN
MYC	JUN
NKD1	JUN
NR5A1	JUN
PENK	JUN
PTGS1	JUN
REL	JUN
RELA	JUN
RHOB	JUN
RTN4	JUN
SMAD2	JUN
SMAD4	JUN
SRC	JUN
SUMO1	JUN
TCF7	JUN
TNFAIP6	JUN
VEGFB	JUN
IL8	JUN
MAPK11	JUNB
PTGS1	JUNB
SMAD2	JUNB
SMAD4	JUNB
TCERG1	JUNB
KCNQ1	KCNE2
ULBP3	KIR2DS5
RBX1	KLHL5
KRT5	KRT18
MYC	LDHC
TFG	LMAN1
MAPK11	LSP1
SRC	LSP1
MYC	MAGEA2
MYC	MAPK11
RELA	MAPK11
REST	MAPK11
SMAD2	MAPK11
SRC	MAPK11
PAK1IP1	MEOX2
RELA	MMP14
PTGS1	MPO
SIX3	MTA3
PIP4K2A	MTMR7
PLCB1	MTMR7
PLCE1	MTMR7
CTSG	MYB
MYC	MYB
RELA	MYB
SIM2	MYB
SUMO1	MYB
WT1	MYB
ASCL2	MYC
DDX11	MYC
FOSL1	MYC
GSTP1	MYC
HSD11B2	MYC
IL2	MYC
JUN	MYC
JUNB	MYC
MNX1	MYC
MPO	MYC
MST1	MYC
RELA	MYC
SIM2	MYC
SLC9A3R2	MYC
SMAD2	MYC
SMAD4	MYC
TADA2A	MYC
TCF7	MYC
TEAD3	MYC
TNFRSF8	MYC
TRAP1	MYC
WT1	MYC
VEGFB	MYC
UCN3	MYC
TBRG4	MYC
DLEU2	MYC
ENTPD7	MYC
MYRIP	MYO7A
RAB3A	MYRIP
TCF7	NKD1
TEAD3	NKD1
WNT3	NOTUM
WNT7A	NOTUM
WNT5B	NOTUM
NPHS2	NPHS1
SRC	NPHS1
NPR1	NPPC
SESN1	NPRL3
NR5A1	NR0B1
RELA	NR0B1
REST	NR0B1
SLC8A1	NR0B1
NR5A1	NR2E3
NR0B1	NR5A1
PITX1	NR5A1
SMAD2	NR5A1
SMAD4	NR5A1
SUMO1	NR5A1
TBX19	NR5A1
WT1	NR5A1
RAD54L2	NR5A1
OASL	OAS3
SRC	OGN
PCDHAC2	PCDH11X
PCDHB10	PCDH11X
PCDHB2	PCDH11X
PCDHGC5	PCDH11X
PCDHB10	PCDHAC2
PCDHB2	PCDHAC2
PCDHGC5	PCDHAC2
PCDHB2	PCDHB10
PCDHGC5	PCDHB10
PCDHGC5	PCDHB2
SCG5	PCSK2
REST	PENK
SRC	PIK3R6
PLCB1	PIP4K2A
PLCE1	PIP4K2A
SCIN	PIP4K2A
TBX19	PITX1
PLXNC1	PLXNA2
SEMA3E	PLXNA2
SEMA3E	PLXNC1
PSIP1	POM121
SUMO1	POM121
PTPRS	PPFIBP2
SRC	PTK2B
TRIM71	PUM1
SRC	PVR
RPS27L	PWP2
WDR75	PWP2
RAB3A	RAB33B
UNC13C	RAB3A
UNC13D	RAB3A
RASGRF2	RASGRF1
RHOB	RASGRF2
SMNDC1	RBMX
TXNL4A	RBMX
SMAD4	RBPMS
RELA	RBX1
RNF213	RBX1
SMAD2	RBX1
SUMO1	RBX1
UNKL	RBX1
CD40LG	REL
CSF2	REL
CSRP1	REL
IL2	REL
RELA	REL
TNIP2	REL
ABCB1	RELA
BCL2L1	RELA
CCL3	RELA
CCL4	RELA
CD40LG	RELA
CD83	RELA
CSF2	RELA
EDN1	RELA
GSTP1	RELA
IL1A	RELA
IL2	RELA
MMP14	RELA
MYC	RELA
RNF25	RELA
SAA2	RELA
SMAD4	RELA
SRC	RELA
TNIP2	RELA
WT1	RELA
VEGFB	RELA
IL8	RELA
ZDHHC13	RELA
KCNQ2	REST
UNKL	RNF213
WNT5B	ROR2
SPATA7	RPGRIP1
WDR75	RPS27L
SRC	RTN4
SMAD4	RUNX3
SRC	RUNX3
TCF7	RUNX3
TEAD3	RUNX3
SRC	S1PR3
SNTB1	SCN4A
SNTB1	SCN5A
SNTB1	SCN7A
UBE2J1	SEL1L
SERPINF2	SERPINB12
TLE2	SIX3
TLE2	SIX6
SMAD4	SMAD2
BAMBI	SMAD4
JUN	SMAD4
MYC	SMAD4
SUMO1	SMAD4
TCF7	SMAD4
TLE2	SMAD4
TXNL4A	SMNDC1
SRC	SMO
STK36	SMO
SSR1	SPCS1
TRPV4	SRC
SUMO1	STAG1
SULT1A3	SULT1A2
SULT4A1	SULT1A3
XRCC4	SUMO1
TEAD3	TCF7
TLE2	TCF7
ABCB1	WT1
MYB	WT1
MYC	WT1
NPHS1	WT1
NR5A1	WT1
PODXL	WT1
